poly_id,mncplty,park_name,park_size_ha,total_observations,total_observers,family_count_observations,order_count_observations,species_count_observations,geometry
Broward_Pine Island Ridge Natural Area,Broward,Pine Island Ridge Natural Area,43.992655582777886,198,37,80,45,122,"list(c(-80.2805487663019, -80.2807818759211, -80.2794764620529, -80.2789403099284, -80.2791967305098, -80.279429840129, -80.2800359251392, -80.2806653211115, -80.2801058580253, -80.2795930168625, -80.2793132853194, -80.2794997730147, -80.278031182413, -80.2776348960598, -80.2777281399076, -80.2783109139561, -80.2788936880045, -80.2784041578039, -80.2778446947173, -80.2782876029943, -80.2780078714508, -80.2777514508699, -80.2774250974024, -80.2774717193263, -80.2767024575826, -80.2756068423714, -80.2744879161985, 
-80.2741848736936, -80.2734622338734, -80.2718770884616, -80.2708980280605, -80.2697557909254, -80.2693828155344, -80.2686834866764, -80.2679841578184, -80.2688466634099, -80.2700588334307, -80.2711311376797, -80.2721101980813, -80.2730892584824, -80.2738818311883, -80.275024068323, -80.2763761041155, -80.2777048289459, -80.2785207126135, -80.2794531510907, -80.2805487663019, 26.0774894195641, 26.0784316219118, 26.0787247499844, 26.0792691287429, 26.082660970137, 26.083142519898, 26.0833518887412, 
26.0841056134762, 26.0843987273399, 26.0850686991292, 26.0861783314688, 26.0883556926492, 26.0884394365011, 26.0871832724323, 26.0862411405314, 26.0854664930643, 26.0849430797111, 26.084566220647, 26.0836240676777, 26.0834146993214, 26.0829331506803, 26.0824934741034, 26.0825353481346, 26.0832890781272, 26.0833309518738, 26.0818444247096, 26.0807138139458, 26.0797925674705, 26.0791644407167, 26.0790388149619, 26.0793528790967, 26.0797925674705, 26.0801903793377, 26.0806510019162, 26.0797506924588, 
26.0791853783301, 26.0781803686936, 26.0779291149362, 26.0776569227581, 26.0776987985188, 26.0782431820489, 26.0782013064822, 26.0779709906003, 26.0779291149362, 26.0780128662486, 26.0776987985188, 26.0774894195641))"
Broward_Plantation Heritage Park,Broward,Plantation Heritage Park,35.553698251623025,119,47,53,35,64,"list(c(-80.2337155201943, -80.22182796984, -80.2217528679878, -80.2280292370827, -80.2336404183416, -80.2337155201943, 26.1086132929991, 26.1087770722608, 26.1060987708271, 26.1059927936094, 26.1059157192087, 26.1086132929991))"
Broward_Quiet Waters Park,Broward,Quiet Waters Park,187.51294488488645,1195,73,183,65,338,"list(c(-80.1697652172276, -80.1626748055752, -80.1626748055752, -80.1616029991621, -80.1609159437699, -80.1608334971224, -80.1587448487286, -80.1587998131601, -80.1530285478612, -80.1527812079198, -80.1542377653523, -80.1561065560206, -80.1578379356105, -80.160393781671, -80.1619602679665, -80.1640489163602, -80.1656978493031, -80.1658902248131, -80.1694079484238, -80.1697652172276, 26.3174600475285, 26.3176571171336, 26.3160559168823, 26.3155632354297, 26.3154646988876, 26.3148488436006, 26.3149227464081, 
26.3153661622617, 26.3153661622617, 26.30457589474, 26.30457589474, 26.3044773488544, 26.304699076979, 26.3053888950984, 26.3059555283404, 26.306127981385, 26.3060048006647, 26.309010372867, 26.3091335503928, 26.3174600475285))"
Broward_Reverend Samuel Delevoe Memorial Park,Broward,Reverend Samuel Delevoe Memorial Park,13.842041602646592,7,2,7,7,7,"list(c(-80.1760759255867, -80.1762470773532, -80.1762538383906, -80.1762129488071, -80.1761412675591, -80.1757855168202, -80.1757927770394, -80.1758653792309, -80.176032364272, -80.176032364272, -80.1749360711778, -80.1744306420052, -80.1740575731012, -80.1740821983886, -80.1740694884918, -80.1740369080663, -80.174010098436, -80.1740270370214, -80.1739972196936, -80.1739017811656, -80.1737031267492, -80.1735531673317, -80.1733778956578, -80.1732652953008, -80.1731573174822, -80.1730193733181, -80.1728959495922, 
-80.172779786086, -80.1726708827983, -80.1724675966617, -80.1724312955656, -80.1727071838938, -80.1760759255867, 26.1242178517405, 26.1255415576407, 26.126378547058, 26.1271154004565, 26.1279463878413, 26.1279789794161, 26.1283896324704, 26.1284939250799, 26.1285265165009, 26.1287611744662, 26.1287742110058, 26.1288116529363, 26.1288276177156, 26.1284564386612, 26.1281522993183, 26.127863485164, 26.127628825406, 26.1271879167128, 26.1268917527414, 26.1266986545169, 26.1266431669326, 26.1266232741573, 
26.1265351580131, 26.1264628472137, 26.1262972423209, 26.1260495425627, 26.125775768536, 26.1253455509121, 26.1249674795698, 26.1247784434408, 26.1244851109095, 26.1242634813976, 26.1242178517405))"
Broward_Roosevelt Gardens Park,Broward,Roosevelt Gardens Park,2.439403934471362,NA,NA,NA,NA,NA,"list(c(-80.1825624179026, -80.1825851697201, -80.182166536275, -80.1821619859115, -80.1805875601288, -80.1805693586748, -80.1825624179026, 26.1381931859908, 26.1390224414109, 26.1390387813599, 26.1393655798621, 26.1394105145842, 26.1382340361491, 26.1381931859908))"
Broward_Saw Palmetto Natural Area,Broward,Saw Palmetto Natural Area,4.684820637724973,92,16,41,37,53,"list(c(-80.1947023172694, -80.1915895687561, -80.1915795438012, -80.1926020892072, -80.1925770268193, -80.1945970552425, -80.1946321425853, -80.1946922923145, -80.1947023172694, 26.3193632138664, 26.3193677067342, 26.3185724665349, 26.3185769594326, 26.3177143198562, 26.3177322915802, 26.3180288246126, 26.3181231758728, 26.3193632138664))"
Broward_Secret Woods Park,Broward,Secret Woods Park,22.457796973332385,569,106,112,58,157,"list(c(-80.1812958282461, -80.1801182288279, -80.1798733814244, -80.1792787520148, -80.1787424196066, -80.1787074414063, -80.1778446457931, -80.1772150381832, -80.1766437275743, -80.1761307139662, -80.1758858665627, -80.1758742071626, -80.176678705775, -80.176678705775, -80.1771101035816, -80.1771101035816, -80.1775415013882, -80.1785442098038, -80.1790339046113, -80.1794303242173, -80.1802348228296, -80.1811675748443, -80.1812958282461, 26.0885069266003, 26.089711141937, 26.0899938689587, 26.090349894607, 
26.09061167748, 26.0907582756338, 26.0908734597682, 26.0909572299767, 26.091020057594, 26.0911457127264, 26.0912504252338, 26.0884859836154, 26.0884755121216, 26.0880985377159, 26.0880880661874, 26.0865696846209, 26.0864335528977, 26.0861822323766, 26.086087987042, 26.085972798197, 26.0859099678697, 26.0857738353792, 26.0885069266003))"
Broward_Sewell Lock,Broward,Sewell Lock,1.1240328409056355,NA,NA,NA,NA,NA,"list(c(-80.2325888877095, -80.2325099335752, -80.2324018910759, -80.2322813821337, -80.232111007423, -80.2318450566544, -80.2314419750214, -80.2309017625235, -80.2304031048326, -80.2301911753147, -80.2300415780075, -80.2299667793539, -80.2298462704118, -80.2297964046425, -80.2295720086824, -80.2296094080089, -80.2292146373374, -80.2288780433959, -80.2287159796465, -80.2285830042629, -80.2284126295515, -80.2282547212829, -80.2281383678221, -80.2279555266685, -80.2278142403228, -80.2276521765734, -80.2274942683049, 
-80.227394536767, -80.2272200065754, -80.2272532504212, -80.2276604875349, -80.2280926575335, -80.2283627637829, -80.228641180993, -80.2293226798367, -80.2298753587775, -80.2304862144483, -80.2311718687728, -80.2325888877095, 26.0953164141132, 26.0953537329649, 26.0953462691956, 26.0953164141132, 26.0952716314761, 26.0952081893771, 26.0951111602176, 26.0949730801216, 26.094853659367, 26.094797680846, 26.0948200722574, 26.0948275360602, 26.0948014127483, 26.0949208335567, 26.0948760507677, 26.0947864851388, 
26.0946819918178, 26.0946036217662, 26.094525251662, 26.0944916644581, 26.0944356857646, 26.0944095623644, 26.0943946347049, 26.0943610474635, 26.0943088006253, 26.0942789452781, 26.0942341622439, 26.0941968430351, 26.0941557918917, 26.0940214425951, 26.0940848853377, 26.0941744515044, 26.0942229664821, 26.0942752133592, 26.0944431495919, 26.0945812303134, 26.0947043832514, 26.0948760507677, 26.0953164141132))"
Broward_Snake Warriors Island,Broward,Snake Warriors Island,22.48379771264462,494,26,117,63,196,"list(c(-80.215171514284, -80.2145419066746, -80.2146351818757, -80.2137490674623, -80.2137024298615, -80.211149021222, -80.211218977623, -80.2105077542121, -80.210321203809, -80.2124198958418, -80.2123499394403, -80.2132943508551, -80.2137607268624, -80.2142037840691, -80.2146701600764, -80.2150082826815, -80.215171514284, 25.9760703822112, 25.9761018268063, 25.9785859232786, 25.9785859232786, 25.9771709380494, 25.9772652709277, 25.9787326615127, 25.9787536241033, 25.9742885080635, 25.9742256178942, 
25.9725485343146, 25.9725799798514, 25.972600943538, 25.9725799798514, 25.9725066069182, 25.9724751613618, 25.9760703822112))"
Broward_South Fork Canoe Launch,Broward,South Fork Canoe Launch,1.9039874007008069,NA,NA,NA,NA,NA,"list(c(-80.2077808232365, -80.2067815030922, -80.2062845438855, -80.206511416567, -80.206916546355, -80.2069705636601, -80.2073162744126, -80.2077700197752, -80.2078186353497, -80.207840242272, -80.2078240370802, -80.2077808232365, 26.0678059183772, 26.0672382052156, 26.0664230225298, 26.066355090383, 26.0662386351831, 26.0661027706363, 26.0660736567847, 26.0660639521658, 26.066520068385, 26.0669955919138, 26.0674614090096, 26.0678059183772))"
Broward_Sunview Park,Broward,Sunview Park,8.210427898821793,6,2,5,5,6,"list(c(-80.2048103780165, -80.2041757593144, -80.2032654981448, -80.2030154968378, -80.2034385759728, -80.2035667817712, -80.2041501181544, -80.204342426852, -80.2047783265672, -80.2054193555597, -80.2059193581736, -80.2048103780165, 26.1038267537398, 26.1038728051613, 26.1036713300606, 26.1036828429327, 26.1018580385349, 26.1017083687713, 26.0997108347502, 26.0996878082228, 26.0997914275616, 26.0999583696371, 26.1000965284153, 26.1038267537398))"
Broward_Tall Cypress Natural Area,Broward,Tall Cypress Natural Area,28.204578349855204,657,88,136,61,209,"list(c(-80.2180542098624, -80.2158694693456, -80.2151960904192, -80.214732207159, -80.214328179803, -80.2140139363041, -80.2135949449718, -80.2134303412341, -80.213310629425, -80.2132807014728, -80.2133255934014, -80.2133405573777, -80.2143730717315, -80.2149117748724, -80.2157198295843, -80.216632632129, -80.217380830936, -80.217949462029, -80.2180542098624, 26.2797434874158, 26.2797703221026, 26.279005531109, 26.2786566774027, 26.278361492678, 26.2780797247404, 26.2775966923988, 26.2772075815495, 
26.2767782163401, 26.2762683430906, 26.2750875753864, 26.2741617377607, 26.2740678117915, 26.2739202136868, 26.2736921071567, 26.2733834917244, 26.2731285479231, 26.2729272761041, 26.2797434874158))"
Broward_Topeekeegee Yugnee Park,Broward,Topeekeegee Yugnee Park,57.470639374181374,561,78,118,59,194,"list(c(-80.1760595829649, -80.1684363946154, -80.1683386614314, -80.1690507174861, -80.169944278025, -80.1709634955152, -80.1728343878942, -80.1752777174932, -80.1752777174932, -80.1753894125609, -80.1756407264621, -80.1758501547138, -80.1760595829649, 26.0403744404604, 26.0404747967501, 26.0337883711494, 26.0337130996487, 26.0334747395762, 26.0332614696277, 26.0332238337143, 26.033198743098, 26.0338134616386, 26.0349801634792, 26.0360715837266, 26.0376647881528, 26.0403744404604))"
Broward_Tradewinds Park,Broward,Tradewinds Park,151.18831006094308,763,93,155,65,280,"list(c(-80.181855027569, -80.182184803979, -80.1819718484083, -80.1817159932493, -80.1811636132187, -80.1800999403488, -80.1791389730174, -80.1781944945682, -80.1761168954529, -80.1752264958324, -80.1744680072666, -80.1739403630468, -80.1737424964646, -80.1743031184481, -80.1746658738488, -80.1745009850304, -80.1737424964646, -80.173907385283, -80.1747648071403, -80.176347739799, -80.1796784939354, -80.1798433827545, -80.1691256095425, -80.1690266762517, -80.1689277429602, -80.1685320097957, -80.1680373433398, 
-80.1676416101746, -80.181855027569, 26.2599008089646, 26.2598120868627, 26.2640852520557, 26.2652500121487, 26.2652818401485, 26.2653722497707, 26.2656775639437, 26.2661408272446, 26.2660816817349, 26.2661112544941, 26.2661999727242, 26.2666435628601, 26.2671758687844, 26.2676785999179, 26.2684770507711, 26.269068492308, 26.2695712152445, 26.2704879397016, 26.271227228345, 26.2711089424782, 26.271197656889, 26.273799916118, 26.2738886284721, 26.2683587621031, 26.2653423603241, 26.2633609557259, 
26.2614090912721, 26.2599895328821, 26.2599008089646))"
